Speaker,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Pam,3,23,51,51,449,0.113585746
Pam,4,1,52,84,540,0.155555556
Pam,4,2,53,56,585,0.095726496
Pam,4,3,54,32,552,0.057971014
Pam,4,4,55,56,505,0.110891089
Pam,4,5,56,22,258,0.085271318
Pam,4,6,57,26,294,0.088435374
Pam,4,7,58,23,273,0.084249084
Pam,4,8,59,25,251,0.099601594
Pam,4,9,60,35,316,0.110759494
Pam,4,10,61,42,254,0.165354331
Pam,4,11,62,17,335,0.050746269
Pam,4,12,63,30,308,0.097402597
Pam,4,13,64,34,191,0.178010471
Pam,4,14,65,47,607,0.077429984
Pam,5,1,66,36,551,0.065335753
Pam,5,2,67,9,256,0.03515625
Pam,5,3,68,25,311,0.080385852
Pam,5,4,69,15,290,0.051724138
Pam,5,5,70,25,430,0.058139535
Pam,5,6,71,35,400,0.0875
Pam,5,7,72,14,287,0.048780488
Pam,5,8,73,26,262,0.099236641
Pam,5,9,74,58,304,0.190789474
Pam,5,10,75,6,234,0.025641026
Pam,5,11,76,9,281,0.03202847
Pam,5,12,77,5,223,0.022421525
Pam,5,13,78,32,374,0.085561497
Pam,5,14,79,35,200,0.175
Pam,5,15,80,38,236,0.161016949
Pam,5,16,81,34,250,0.136
Pam,5,17,82,24,282,0.085106383
Pam,5,18,83,14,206,0.067961165
Pam,5,19,84,38,231,0.164502165
Pam,5,20,85,65,244,0.266393443
Pam,5,21,86,45,232,0.193965517
Pam,5,22,87,19,274,0.069343066
Pam,5,23,88,33,199,0.165829146
Pam,5,24,89,30,319,0.094043887
Pam,5,25,90,19,276,0.06884058
Pam,5,26,91,25,218,0.114678899
Pam,6,1,92,29,313,0.092651757
Pam,6,2,93,24,231,0.103896104
Pam,6,3,94,17,297,0.057239057
Pam,6,4,95,82,481,0.17047817
Pam,6,5,96,5,306,0.016339869
Pam,6,6,97,60,314,0.191082803
Pam,6,7,98,39,305,0.127868852
Pam,6,8,99,70,328,0.213414634
Pam,6,9,100,12,239,0.050209205
Pam,6,10,101,13,218,0.059633028
Pam,6,11,102,14,224,0.0625
Pam,6,12,103,16,302,0.052980132
Pam,6,13,104,5,91,0.054945055
Pam,6,14,105,25,195,0.128205128
Pam,6,15,106,5,249,0.020080321
Pam,6,16,107,127,574,0.221254355
Pam,6,17,108,1,202,0.004950495
Pam,6,18,109,3,280,0.010714286
Pam,6,19,110,31,295,0.105084746
Pam,6,20,111,28,260,0.107692308
Pam,6,21,112,27,286,0.094405594
Pam,6,22,113,42,267,0.157303371
Pam,6,23,114,30,297,0.101010101
Pam,6,24,115,17,184,0.092391304
Pam,7,1,116,25,211,0.118483412
Pam,7,2,117,39,252,0.154761905
Pam,7,3,118,17,203,0.083743842
Pam,7,4,119,9,274,0.032846715
Pam,7,5,120,10,341,0.029325513
Pam,7,6,121,24,250,0.096
Pam,7,7,122,33,236,0.139830508
Pam,7,8,123,23,268,0.085820896
Pam,7,9,124,28,273,0.102564103
Pam,7,10,125,46,289,0.15916955
Pam,7,11,126,69,552,0.125
Pam,7,12,127,31,307,0.100977199
Pam,7,13,128,18,249,0.072289157
Pam,7,14,129,36,282,0.127659574
Pam,7,15,130,25,350,0.071428571
Pam,7,16,131,4,70,0.057142857
Pam,7,17,132,36,271,0.132841328
